POSTAL_CODE,CODE,YEAR,CITY,TITLE
IS-1,ISAA,2022-1,REYKJAVIK,REYKJAVIK
MG-A,MGAA,2021-1,MAROANTSETRA,THE KING OF MADAGASCARMORIC BENOVSKY 275th BIRTH ANNIVERSARY
IQ-00,IQAA,2019-1,HILLA,IRAQ - ISHTAR GATE OF BABYLONWORLD HERITAGE
IQ-00,IQAB,2019-1,HILLA,IRAQ - HANGING GARDENS OF BABYLONWORLD HERITAGE
IQ-00,IQAC,2021-1,BAGDAD,KING FAISAL I
IQ-00,IQAD,2021-1,BAGDAD,IRAQ KING FAISAL II
IQ-00,IQAE,2021-1,BAGDAD,IRAQ KING GHAZI
IQ-00,IQAF,2022-1,BAGDAD,KINGDOM OF IRAQ
IQ-00,IQAG,2022-1,SAMARA,IRAQ
QA-00,QAAA,2019-1,DOHA,QATARTAMIM AL MAJED
QA-00,QAAB,2019-1,DOHA,QATAR - SHEIKH KHALIFA BIN HAMAD AL THANI(1932-2016)
QA-00,QAAC,2021-1,DOHA,QATAR
SI-01,HEAA,2018-1,LJUBLJANA,LJUBLJANA
SI-01,HEAB,2023-1,LJUBLJANA,"BANKARIUM, LJUBLJANA"
SI-01,HEAC,2024-1,LJUBLJANA,"LJUBLJANSKI GRAND LJUBLJANA CASTLE"
SI-01,HEAD,2024-1,--,100. JUBILEJ RAZGLASITVE DNEVA VARCEVANJA
SI-01,HEAE,2024-1,LJUBLJANA,SLOVENIAN FOOTBALL NATONAL TEAM
SI-01,HEAF,2024-1,BREZJE,MARIJA POMAGAJSLOVENSKO MARIJINO NARODNO SVETISCE BREZJE
99-00,KOAA,2022-1,PRISTINA,KOSOVO - 15 YEARS OF INDEPENDANCE - XVII.II.MMXXIII
AE-AZ,ARAA,2019-1,ABOU DABI,UNITED ARAB EMIRATESYEAR OF TOLERANCE 2019
AE-AZ,ARAB,2021-1,ABOU DABI,UNITED ARAB EMIRATES50 GOLDEN JUBILEE
AE-AZ,ARAB,2022-2,ABOU DABI,UNITED ARAB EMIRATES - Ø§ÙØ¥ÙØ§Ø±
AE-DU,ARAC,2022-3,DUBAI,ARABIAN GULF STATES
AM-ER,AMAC,2019-1,EREVAN,MONUMENT TSITSERNAKABERD YEREVAN
AR-B,AGAA,2020-1,BUENOS AIRES,#DIEGO 1960-2020
AR-B,AGAA,2021-2,BUENOS AIRES,#DIEGO 1960-2020
AR-B,AGAB,2022-1,BUENOS AIRES,PAPA FRANCISCUS
AR-B,AGAB,2025-2,BUENOS AIRES,PAPA FRANCISCUS
AT-NÖ,NEAD,2022-2,LAXENBURG,SCHLOSSPARK LAXENBURG
AT-NÖ,NEAD,2024-2,LAXENBURG,SCHLOSSPARK LAXENBURG
AT-NÖ,NEAJ,2018-1,NEUNKIRCHEN,STADTGEMEINDE NEUNKIRCHEN
AT-NÖ,NEAN,2019-1,KOTTINGBRUNN,KOTTINGBRUNN - WASSERSCHLOSS
AT-NÖ,NEAV,2019-1,HAINBURG A.D. DONAU,HAINBURG A.D. DONAU - MOSAIK NACH HUNDERTWASSER
AT-NÖ,NEAW,2020-1,AGGSBACH DORF,BURGRUINE AGGSTEIN
AT-NÖ,NEBB,2020-2,WIEN,KULTURERBE WIENER HEURIGENKULTUR
AT-NÖ,NEBJ,2025-1,MELK,STIFT MELK - BENEBIKTINERKLOSTER
AT-NÖ,NEBJ,2025-2,MELK,STIFT MELK - BENEBIKTINERKLOSTER
AT-NÖ,NEBS,2022-1,SCHALLABURG,SCHLOSS SCHALLABURG
AT-NÖ,NECD,2025-1,MUGGENDORF,MYRAFÄLLE - MUGGENDORF
AT-B,NEAF,2018-1,BADEN,FESTIVAL LA GACILLY - BADEN PHOTO
AT-B,NEAF,2021-2,BADEN,WELTERBE BADEN BEI WIENGREAT SPA TOWNS OF EUROPE
AT-K,NEBH,2021-1,KEUTSCHACH AM SEE,PYRAMIDENKOGEL - KEUTSCHACH AM WÖRTHERSEE
AT-K,NEBH,2024-2,KEUTSCHACH AM SEE,PYRAMIDENKOGEL KEUTSCHACH AM SEE
AT-K,NEBL,2022-1,LAUNSDORF,BURG HOCHOSTERWITZ
AT-OÖ,NEAG,2018-1,SCHÄRDING,SCHÄRDING - SILBERZEILE
AT-OÖ,NEAG,2019-2,SCHÄRDING,BAROCKSTADT SCHÄRDING
AT-OÖ,NEAG,2025-3,SCHÄRDING,SCHÄRDING - OÖ LANDESGARTENSCHAU 2025INN'S GRÜN
AT-OÖ,NEAL,2019-1,RIED IM INNKREIS,RIED IM INNKREIS - 200 JAHRE STILLE NACHT KRIPPE
AT-OÖ,NEAM,2019-1,WELS,WELS
AT-OÖ,NEAM,2022-2,WELS,IN CIVITATE WELSA - WELS ALS STADT - 1222 BIS 2022
AT-OÖ,NEAP,2019-1,FRANKENBURG-AM-HAUSRUCK,DAS FRANKENBURGER WÜRFELSPIEL
AT-OÖ,NEAR,2019-1,NEUKIRCHEN AN DER VÖCKLA,FREILICHTMUSEUM STEHRERHOFNEUKIRCHEN VÖCKLA
AT-OÖ,NEBC,2020-1,HALLSTATT,HALLSTATT - AUSTRIA
AT-OÖ,NEBR,2022-1,LILIENFELD,KLOSTER STIFT LILIENFELD200 JAHRE LADYSLAUS PYRKER
AT-OÖ,NECE,2024-1,SCHWANENSTADT,SCHWANENSTADT
AT-S,NEAZ,2020-1,GROSSGLOCKNER,GROSSGLOCKNER HOCHALPENSTRASSE - 3798 m.
AT-S,NEAZ,2021-2,GROSSGLOCKNER,GROSSGLOCKNER HOCHALPENSTRASSE - 3798 m.
AT-S,NEAZ,2022-3,GROSSGLOCKNER,GROSSGLOCKNER HOCHALPENSTRASSE - 3798 m.
AT-S,NEAZ,2024-5,GROSSGLOCKNER,GROSSGLOCKNER HOCHALPENSTRASSE - 3798 m.
AT-S,NEBM,2024-8,WERFEN,825. TODESTAG RICHARD LÖWENHERZ
AT-S,NEBV,2023-1,BRAUNAU AM INN,BRAUNAU AM INN - RATHAUS
AT-S,NEBX,2025-1,WERFEN,EISRIESENWELT WERFENDie Größte Eishöle der Welt
AT-S,NECB,2024-1,SALZBURG,HAUS DER NATUR - SALZBURG
AT-S,NELB,2018-1,SALZBURG,FESTUNG HOHENSALZBURG
AT-S,NELB,2019-1,SALZBURG,FESTUNG HOHENSALZBURG
AT-S,NELB,2022-2,SALZBURG,FESTUNG HOHENSALZBURG
AT-S,NELB,2024-3,SALZBURG,FESTUNG HOHENSALZBURG
AT-S,NELB,2025-3,SALZBURG,FESTUNG HOHENSALZBURG
AT-S,NELH,2017-2,SALZBURG,MOZARTHAUS - SALZBURG
AT-S,NELH,2018-3,SALZBURG,MOZARTHAUS - SALZBURG
AT-S,NELH,2019-1,SALZBURG,MOZARTHAUS - SALZBURG
AT-S,NELH,2019-2,SALZBURG,MOZARTHAUS - SALZBURG
AT-S,NELH,2019-3,SALZBURG,MOZARTHAUS - SALZBURG
AT-S,NELH,2023-4,SALZBURG,MOZARTHAUS - SALZBURG
AT-S,NELH,2023-5,SALZBURG,MOZARTHAUS - SALZBURG
AT-S,NELH,2024-6,SALZBURG,MOZARTHAUS - SALZBURG
AT-S,XELH,2017-1,SALZBURG,MOZARTHAUS - SALZBURG
AT-ST,NEAU,2019-1,STEYR,70 JAHRE POSTAMT CHRISTKINDL
AT-ST,NEBM,2024-12,ADMONT,150. GEBURTSTAG HUGO VON HOFMANNSTHAL
AT-ST,NEBM,2024-6,KAPFENBERG,100 JAHRE STADTERHEBUNG KAPFENBERG
AT-ST,NEBM,2024-7,ADMONT,150. GEBURTSTAG HUGO VON HOFFMANSTHAL
AT-ST,NEBM,2024-9,ADMONT,950 JAHRE BENEDIKTINERSTIFT ADMONT
AT-T,NEAH,2018-1,INNSBRUCK,INNSBRUCKER NORDKETTENBAHNEN
AT-T,NEAH,2024-2,INNSBRUCK,INNSBRUCKER NORDKETTENBAHNEN
AT-T,NEAH,2025-3,INNSBRUCK,INNSBRUCKER NORDKETTENBAHNEN
AT-T,NEAY,2020-1,WATTENS,SWAROVSKI KRISTALLWELTEN
AT-T,NEBA,2020-1,OBERASSLING,WILDPARK ASSLING - OSTTIROL
AT-T,NEBD,2020-1,--,SKI-NATION ÖSTERREICH
AT-T,NEBG,2021-1,LIENZ,DOLOMITENSTADT LIENZ - TIROL
AT-T,NECF,2024-1,INNSBRÜCK,TIROLER LANDESMUSEEN
AT-T,NEKX,2017-1,INNSBRUCK,ALPENZOO INNSBRUCK-TIROL
AT-T,NEKX,2018-1,INNSBRUCK,ALPENZOO INNSBRUCK-TIROL
AT-T,NEKX,2018-2,INNSBRUCK,ALPENZOO INNSBRUCK-TIROL
AT-T,NEKX,2022-3,INNSBRUCK,ALPENZOO INNSBRUCK-TIROL
AT-T,NEKX,2024-4,INNSBRUCK,ALPENZOO INNSBRUCK-TIROL
AT-W,NEAA,2019-1,WIEN,KUNST HAUS WIEN
AT-W,NEAA,2025-1,WIEN,KUNSTHAUSWIEN
AT-W,NEAE,2018-1,WIEN,100 JAHRE REPUBLIK ÖSTERREICH - AUSTRIA
AT-W,NEAK,2023-4,WIEN,MADAME TUSSAUDS WIENMEHR ALS WACHSFIGUREN
AT-W,NEAT,2019-1,WIEN,40 JAHRE UNO - WIEN
AT-W,NEBE,2020-1,WIEN,BUNDESKANZLER BRUNO KREISKY
AT-W,NEBK,2021-1,WIEN,800 JAHRE STADT WIEN
AT-W,NEBM,2021-1,WIEN,BRAUKUNST IN ÖSTERREICH - 180 JAHRE MÄRZENBIER
AT-W,NEBM,2024-10,--,TIERE DER ALPEN
AT-W,NEBM,2024-11,WIEN,WIENER KAFFEEHAUSKULTUR
AT-W,NEBM,2024-2,WIEN,20. TODESTAG BUNDESPRÄSIDENT THOMAS KLESTIL1932 - 2004
AT-W,NEBM,2024-3,WIEN,50 JAHRE MUNDLEin echter Wiener geht nicht unter seit 1975
AT-W,NEBM,2024-4,WIEN,RUDOLF KIRCHSCHLÄGER50. Präsidentschaftsjubiläum östrreichischer Bundespräsident 1974 - 1986
AT-W,NEBM,2024-5,WIEN,100 JAHRE EINFÜRUNG DES SCHILLINGS
